127.0.0.1 - - [18/Feb/2019:20:31:21 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [18/Feb/2019:20:31:24 +0900] "GET /template/ HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [18/Feb/2019:20:31:29 +0900] "POST /template/HomeAction.action;jsessionid=C72135BD44EA340944445FAD08FC1EAD HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [18/Feb/2019:20:31:35 +0900] "POST /template/LoginAction.action HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [18/Feb/2019:20:31:36 +0900] "POST /template/HomeAction.action HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [18/Feb/2019:20:32:39 +0900] "POST /template/LoginAction.action HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [18/Feb/2019:20:32:41 +0900] "POST /template/HomeAction.action HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [18/Feb/2019:20:34:55 +0900] "POST /template/LoginAction.action HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [18/Feb/2019:20:34:56 +0900] "POST /template/HomeAction.action HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [18/Feb/2019:20:35:08 +0900] "POST /template/LoginAction.action HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [18/Feb/2019:20:35:09 +0900] "POST /template/HomeAction.action HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [18/Feb/2019:20:37:34 +0900] "GET /template/buyItem.jsp HTTP/1.1" 200 2458
